Rating,Title,Body
5.0 out of 5 stars,"Great performance, best value for money phone, sleek and good battery","
Its sleek and great phone
Read more"
4.0 out of 5 stars,"Overall you can should buy realme 15x , or u can buy this also but i suggest realme 15x .","
First of all, I would like to talk about my Realme Narzo 80 Pro 5G. Overall, it is a very good phone in the 20–22k INR price range. I have been using this phone since 17 August 2025, and today is 28 November 2025—almost 4 months. The gaming performance is very good. The camera quality is also very good in bright environments such as sunlight or outdoors, especially when taking photos of people. Nature photography is also decent. Also sound quality is also good , i'm reading some negative comments , but i want to tell to whomever reading this review , The phone has dual stereo speaker support also , with 300% voice boost .I have the 8 GB RAM + 128 GB storage variant. I strongly suggest buying the 256 GB storage variant because in the 128 GB version, a large portion of the storage is taken by the system—around 30–40 GB. So, you only get about 60–70 GB of usable space, which is quite low for modern usage. Even though the phone is advertised as 128 GB, you don’t actually get the full 128 GB.In terms of performance, I did not face any heating issues. The phone stays cool during normal and even heavy tasks. It only heats slightly while charging, which is completely normal for fast-charging phones. The connectivity is also very good, with strong Wi-Fi and Bluetooth performance. Storage transfer speeds are fast as well, thanks to UFS 3.1 storage.I also appreciate the battery capacity, which is quite good for modern phones (6000 mAh). The battery lasts around 20–21 hours with moderate usage such as YouTube, Instagram Reels, or studying on the PW app. However, I have one issue with the screen. Although the display is very bright, easy to use in sunlight, and has excellent color quality, I would advise avoiding phones with curved displays. If a curved screen breaks after dropping on a cemented road or anywhere else, it is very difficult to find a duplicate replacement screen in the market.Additionally, you cannot expand the memory using an SD card, and there is no audio jack on this phone. On the positive side, the 80W charging is amazing—it charges the phone up to 25% in just 10 minutes and more than 60% in under 30 minutes.Overall, the phone is very good, but I still recommend checking out the Realme 15x. It offers almost the same features and is even better in some aspects because it doesn’t have a curved display. The Realme 15x also comes with 60W SUPERVOOC charging and a massive 7000 mAh battery, which is extremely impressive and lasts even longer.
Read more"
5.0 out of 5 stars,Great device at this range,"
Worth every penny! Camera is surprisingly good. Phone is lightweight and sleek and very comfortable. Buy this if p3 ultra and p4 are costlier.
Read more"
5.0 out of 5 stars,What a phone,"
Absolutely amazing mobile. I highly recommend this mobile if you are looking for mid range budget mobile. I don't want to call it is as budget mobile because it delivering premium quality.it will easily match with any flagship mobiles because forget about the configuration just look the performance and display quality it is giving is important then anything else. The display is great and touch is fantastic and battery is very good all day long. I got refreshed by this phone after a long period of redmi note 14 usage which irritated me with lagging experience but this phone given me how much I wasted time with my previous one.The bgmi play really amazing I don't know how much fps it is giving but I felt awesome. No heat issues . You can pick 128gb varient (it will save 2k) only if you are a intelligent storage keeper because now a days everyone using Googleone or other cloud storages. If you are reckless user just go for 256gb. But I only facing one issue with this phone the tampered glass edges are getting dirty scratches easily while taking in and out from my pocket because of curves . But this issue is nothing in front of my previous phone experience.Note : My sincere request is to everyone not to buy redmi phones even top end phone.my previous phone is redmi note 14 5g . I can't say how much the phone irritated me for a long period.there are plenty things to say about this mobile but I can't explain my frustration here.after 1 year of use I exchanged it to 9.5k but I purchased at 22k
Read more"
5.0 out of 5 stars,Best Smartphone under 20k with amoled display,"
Amazing phone and fast delivery from Amazon. Thankyou for that one day delivery option. Best phone with amoled display and screen fingerprint sensor. I ordered 8/256gb for 20k. Very lightweight and amazing sound quality with dual speakers. Also good camera quality.
Read more"
4.0 out of 5 stars,Amazing product,"
Amazing battery backup doesn't heat up, nice camera and sound quality.performance is also great according to the price.  Overall a durable and quality product.
Read more"
5.0 out of 5 stars,Very good 👍,"
At this price this phone is good 😊
Read more"
4.0 out of 5 stars,Good,"
The product is good loved it value for money
Read more"
5.0 out of 5 stars,Must Read! Highly Recommended,"
Amazing performance, display is good, battery is superb, overall satisfied. I really don't care about the cameras but still it's good enough for daily usage. I have a secondary iphone 16 pro for camera. But since this is my primary phone for all other stuff and work I needed the best performance to battery ratio phone which this one delivered it perfectly well. Looks & Feel is premium too. I chose this overall iQOO 15r & Poco X8 Pro Max due the OS stability (ads free & feature loaded) and overall brand reliability. I have used Realme, Xiaomi, Moto & Samsung. But by fast the longevity & reliability wise I prefer oneplus -> Samsung -> Realme -> Xiaomi -> Moto -> iQOOReason being if anytime I need to replace screen or anything then fixing 1+, realme & Samsung have the best availability and repairability. So after sales is very important which brand like Samsung, Oneplus & Realme comes to top place.Also, regarding the price to value is it completely worth purchasing it because amid Ram price increase & war tensions going all over the world, it is highly likely phone prices are going to even much higher. So! Worth value for money purchase
Read more"
5.0 out of 5 stars,Happy to Purchase one more Oneplus,"
It is nice. I gifted the phone to my wife. Earlier she was using the same brand of handset. She wanted to upgrade in the same brand because of it’s camera quality, it’s speed and use of handset is outstanding. Heating is quite normal in phones. When it’s getting charge. Connectivity in terms of great earlier it was 4 g handset now it’s 5 g so i can feel the difference.
Read more"
4.0 out of 5 stars,A really good phone which tries to meet everyone's expectations and in budget.,"
Got this beauty on Dec 23. Upgraded from iqoo3( yes, the first iqoo phone in India) after almost 5 years. Must say the previous one really held its ground.Coming back to 15r, this is pretty good upgrade as I am not very frequent camera user and gaming was my major priority. This phone really delivers on that front. Performance is smooth and you can get 110-115 avg fps in bgmi. Battery at 7400 mah is a really good, no complaints there. Camera is pretty good as well for the price. It has the same primary camera as the oneplus 15. Gives amazing results in daylight. If you know a little about photography then you can make a good use of this camera as well. UI is smooth and haptics are a little weak but not a deal breaker. Overall this phone is bang for the buck. I did consider waiting for the new iqoo neo 11 but the UI has lots of ads and I wanted a little cleaner experience. Go for it, as new phones are going to get pricey anyway.
Read more"
5.0 out of 5 stars,Good smartphone,"
This phone is really good. Pretty fast and meets my expectations. I was an iphone user and transitioning to android now. The performance of the phone is excellent so far.
Read more"
5.0 out of 5 stars,"Amazing battery and performance, okay camera.","
This is a great phone overall, the battery is the best I've ever had in a smartphone. I fully charge it in the morning and when I return home in the evening at 7 pm, the battery is still around 80%! I routinely end the day at around 65% battery, it can last 2 full dyas on normal usage. The charging is also super fast, it goes from 0 to 65 in under 30 minutes, and the fast charger is included in the box.The screen is fantastic, 120 Hz display and bright colours. The performance is also top notch, the phone feels very snappy and quick, I don't bother closing apps because the phone can hold as many apps as I want without slowing down. The only thing that's not the best in class, is the camera. The main camera is still very good, 50 megapizels and takes great photos, which are processed with AI to enhance their features. The ultrawide is not that good, and the front camera is average for the price. It's not a bad camera setup at all, still very good, but certainly below what you expect from a 50k phone.In summary, performace, battery and screen are amazing, camera is good but not great. If you want a reliable and fast phone that has a monster battery and super fast charging, go for this one.
Read more"
