Rating,Title,Body
5.0 out of 5 stars,great performance best value money phone sleek good battery,its sleek great phone read more
4.0 out of 5 stars,overall you can should buy realme 15x or u can buy also but i suggest realme 15x,first all i would like talk about my realme narzo 80 pro 5g overall very good phone 20–22k inr price range i have been using phone since 17 august 2025 today 28 november 2025—almost 4 months gaming performance very good camera quality also very good bright environments such as sunlight or outdoors especially when taking photos people nature photography also decent also sound quality also good im reading some negative comments but i want tell whomever reading review phone has dual stereo speaker support also 300 voice boost i have 8 gb ram 128 gb storage variant i strongly suggest buying 256 gb storage variant because 128 gb version large portion storage taken by system—around 30–40 gb so you only get about 60–70 gb usable space which quite low modern usage even though phone advertised as 128 gb you don’t actually get full 128 gbin terms performance i did not face any heating issues phone stays cool during normal even heavy tasks only heats slightly while charging which completely normal fastcharging phones connectivity also very good strong wifi bluetooth performance storage transfer speeds are fast as well thanks ufs 31 storagei also appreciate battery capacity which quite good modern phones 6000 mah battery lasts around 20–21 hours moderate usage such as youtube instagram reels or studying pw app however i have one issue screen although display very bright easy use sunlight has excellent color quality i would advise avoiding phones curved displays if curved screen breaks after dropping cemented road or anywhere else very difficult find duplicate replacement screen marketadditionally you cannot expand memory using sd card there no audio jack phone positive side 80w charging amazing—it charges phone up 25 just 10 minutes more than 60 under 30 minutesoverall phone very good but i still recommend checking out realme 15x offers almost same features even better some aspects because doesn’t have curved display realme 15x also comes 60w supervooc charging massive 7000 mah battery which extremely impressive lasts even longer read more
5.0 out of 5 stars,great device at range,worth every penny camera surprisingly good phone lightweight sleek very comfortable buy if p3 ultra p4 are costlier read more
5.0 out of 5 stars,what phone,absolutely amazing mobile i highly recommend mobile if you are looking mid range budget mobile i dont want call as budget mobile because delivering premium qualityit will easily match any flagship mobiles because forget about configuration just look performance display quality giving important then anything else display great touch fantastic battery very good all day long i got refreshed by phone after long period redmi note 14 usage which irritated me lagging experience but phone given me how much i wasted time my previous onethe bgmi play really amazing i dont know how much fps giving but i felt awesome no heat issues you can pick 128gb varient will save 2k only if you are intelligent storage keeper because now days everyone using googleone or other cloud storages if you are reckless user just go 256gb but i only facing one issue phone tampered glass edges are getting dirty scratches easily while taking out from my pocket because curves but issue nothing front my previous phone experiencenote my sincere request everyone not buy redmi phones even top end phonemy previous phone redmi note 14 5g i cant say how much phone irritated me long periodthere are plenty things say about mobile but i cant explain my frustration hereafter 1 year use i exchanged 95k but i purchased at 22k read more
5.0 out of 5 stars,best smartphone under 20k amoled display,amazing phone fast delivery from amazon thankyou one day delivery option best phone amoled display screen fingerprint sensor i ordered 8256gb 20k very lightweight amazing sound quality dual speakers also good camera quality read more
4.0 out of 5 stars,amazing product,amazing battery backup doesnt heat up nice camera sound qualityperformance also great according price overall durable quality product read more
5.0 out of 5 stars,very good 👍,at price phone good 😊 read more
4.0 out of 5 stars,good,product good loved value money read more
5.0 out of 5 stars,must read highly recommended,amazing performance display good battery superb overall satisfied i really dont care about cameras but still its good enough daily usage i have secondary iphone 16 pro camera but since my primary phone all other stuff work i needed best performance battery ratio phone which one delivered perfectly well looks feel premium too i chose overall iqoo 15r poco x8 pro max due os stability ads free feature loaded overall brand reliability i have used realme xiaomi moto samsung but by fast longevity reliability wise i prefer oneplus samsung realme xiaomi moto iqooreason being if anytime i need replace screen or anything then fixing 1 realme samsung have best availability repairability so after sales very important which brand like samsung oneplus realme comes top placealso regarding price value completely worth purchasing because amid ram price increase war tensions going all over world highly likely phone prices are going even much higher so worth value money purchase read more
5.0 out of 5 stars,happy purchase one more oneplus,nice i gifted phone my wife earlier she using same brand handset she wanted upgrade same brand because it’s camera quality it’s speed use handset outstanding heating quite normal phones when it’s getting charge connectivity terms great earlier 4 g handset now it’s 5 g so i can feel difference read more
